Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
1631026,2,ALDERMAN,STACKS,HS1001 .W5 1896,1896,Digest of the laws and decisions of the Sovereign Grand Lodge of the Independent Order of Odd Fellows from its organization to 1896.,"White, John Hull.",X001478830,BOOK,6/30/96,11/3/15,STACKS,0,0,0,0,1
1628686,2,ALDERMAN,STACKS,HS1019 .O3 1930,1930,"Revised Odd-fellowship illustrated. The complete revised ritual of the lodge, encampment and Rebekah degrees, with the secret ""work"" added; profusely illustrated, by a past grand patriarch.  With an historical sketch of the order, and an introduction and critical analysis of the character of each degree by President J. Blanchard",Independent Order of Odd Fellows. Sovereign Grand Lodge.,X001476795,BOOK,6/30/96,9/14/09,STACKS,0,0,0,1,1
792146,2,ALDERMAN,STACKS,HS1030 .W7 1914,1914,Album of Odd Fellows homes.,,X001290192,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
2788118,2,ALDERMAN,STACKS,HS125 .E55 1998,1998,"Warrior cults : a history of magical, mystical and murderous organizations /","Elliott, Paul,",X006048485,BOOK,4/20/98,7/24/07,STACKS,0,0,0,14,1
1786369,2,ALDERMAN,STACKS,HS125 .G44 1987,1987,Geheimgesellschaften und der Mythos der Weltverschwˆrung /,,X002058999,BOOK,6/30/96,9/14/09,STACKS,0,0,0,1,1
5004720,3,CLEMONS,BY-REQUEST,HS125 .G65 2009,2009,"Cults, conspiracies, and secret societies : the straight scoop on Freemasons, the Illuminati, Skull and Bones, Black Helicopters, the New World Order, and many, many more /","Goldwag, Arthur.",X030565128,BOOK,9/1/09,4/23/13,BY-REQUEST,2,14,1,18,1
1327470,2,ALDERMAN,STACKS,HS126 .I51 1980,1980,T?r?kh al-jam??y?t al-sirr?yah wa-al-?arak?t al-hadd?mah f? al-mashriq /,"?In?n, Mu?ammad ?Abd All?h,",X001504442,BOOK,6/30/96,9/14/09,STACKS,0,0,0,0,1
1139193,2,ALDERMAN,STACKS,HS126 .M3 1968a,1968,Secret societies;,"MacKenzie, Norman,",X000210217,BOOK,6/29/96,5/13/16,STACKS,4,19,3,48,1
705870,2,ALDERMAN,STACKS,HS1355 .C34 P843 1984,1984,"Carbon·ria, o, exÈrcito secreto da rep˙blica /","Brand„o, JosÈ.",X001189032,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
7562758,2,ALDERMAN,STACKS,HS1355 .S63 S63 2015,2015,La Sociedad Abaku· : los hijos de …kpË /,Coloquio Internacional sobre Investigaciones de las Religiones Afroamericanas,X032404481,BOOK,6/4/18,1/1/00,STACKS,0,0,0,0,1
7516239,2,ALDERMAN,STACKS,HS1355 .S64 C825 2003,2003,Las celebraciones rituales festivas en la Regla de Ocha /,"Balbuena GutiÈrrez, B·rbara.",X032404506,BOOK,5/1/18,1/1/00,STACKS,0,0,0,0,1
5006564,2,ALDERMAN,STACKS,HS1355 .S64 C84 2003,2003,The light inside : Abaku· society arts and Cuban cultural history /,"Brown, David H. (David Hilary),",X030565211,BOOK,9/7/09,11/19/09,STACKS,0,0,0,2,1
4851004,2,ALDERMAN,STACKS,HS1355 .S64 C845 2009,2009,Voice of the leopard : African secret societies and Cuba /,"Miller, Ivor.",X030467819,BOOK,3/13/09,4/22/11,STACKS,0,0,0,2,1
1139194,2,ALDERMAN,STACKS,HS137 .K4,1837,Secret societies of the middle ages.,"Keightley, Thomas,",X002243735,BOOK,6/29/96,9/16/14,STACKS,2,4,1,10,1
67047,2,ALDERMAN,STACKS,HS142 .A34 1984,1984,"Geheimbund und Utopie : Illuminaten, Freimaurer und deutsche Sp‰taufkl‰rung /","Agethen, Manfred.",X000871287,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
1780609,2,ALDERMAN,STACKS,HS142 .E6 1985,1985,"Geschichte des Illuminaten-ordens : Ein beitrag zur geschichte Bayerns : Vorgeschichte, gr¸ndung (1776), beziehung zur Freimaurerei, verfolgung durch die Jesuiten, fortentwickelung bis zur Jetztzeit, nach authentischen Dokumenten in den Geheimen Staats-Archiven zu M¸nchen, Berlin, Dresden, Gotha, Paris, Wien, dem Geheimarchiv ","Engel, Leopold,",X002114895,BOOK,6/30/96,9/14/09,STACKS,0,0,0,4,1
809212,2,ALDERMAN,STACKS,HS142 .F3,1966,Kirchberger et l'illuminisme du dix-huitiËme siËcle.,"Faivre, Antoine,",X000926141,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
420509,2,ALDERMAN,STACKS,HS142 .F45,1960,Note e ricerche sugli Illuminati et il misticismo rivoluzionario (1789-1800) /,"De Felice, Renzo,",X000982377,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,1
1881136,2,ALDERMAN,STACKS,HS142 .S38 1991,1991,"Die Mitglieder des Illuminatenordens, 1776-1787/93 /","Sch¸ttler, Hermann.",X002066988,BOOK,6/30/96,4/12/16,STACKS,0,0,0,1,1
1894010,2,ALDERMAN,STACKS,HS142 .W55 1991,1991,Geheimr‰te gegen Geheimb¸nde : ein unbekanntes Kapitel der klassisch-romantischen Geschichte Weimars /,"Wilson, W. Daniel.",X002050255,BOOK,6/30/96,12/13/99,STACKS,0,0,0,3,1
589934,3,CLEMONS,BY-REQUEST,HS145 .R6,1972,The mythology of the secret societies,"Roberts, J. M. (John Morris),",X000199859,BOOK,6/29/96,11/11/12,BY-REQUEST,1,6,1,11,1
593441,2,ALDERMAN,STACKS,HS145 .R6 1972b,1972,The mythology of the secret societies,"Roberts, J. M. (John Morris),",X000079524,BOOK,6/29/96,3/19/13,STACKS,1,12,6,32,1
768738,2,ALDERMAN,STACKS,HS145 .V26 1985,1985,Le societ‡ segrete dal seicento al novecento : note e documenti /,"Vannoni, Gianni,",X001010759,BOOK,6/29/96,1/1/00,STACKS,0,0,1,0,1
474948,2,ALDERMAN,STACKS,HS146 .F75,1973,"Die Erleuchteten : gnostisch-theosophische und alchemistisch-rosenkreuzerische Geheimgesellschaften bis zum Ende des 18. Jahrhunderts, ein Beitrag zur Geistesgeschichte der Neuzeit /","Frick, Karl R. H.",X000283610,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
207394,2,ALDERMAN,STACKS,HS146 .S78 1979,1979,"Befˆrderer der Aufkl‰rung in Mittel- und Osteuropa : Freimaurer, Gesellschaften, Clubs /",Studienkreis f¸r Kulturbeziehungen in Mittel- und Osteuropa.,X000036615,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
4593741,2,ALDERMAN,STACKS,HS150 .H62 1976,1976,At the sign of the square and compasses /,"Hodson, Geoffrey,",X030237852,BOOK,5/24/07,6/28/13,STACKS,0,0,0,0,1
2859140,2,ALDERMAN,STACKS,HS1506 .B38 1998,1998,Fraternity and politics : choosing one's brothers /,"Baumann, Fred E.",X004235075,BOOK,12/1/98,12/1/10,STACKS,0,0,1,2,1
4382772,2,ALDERMAN,STACKS,HS1506 .P47 2006,2006,The Roman collegia : the modern evolution of an ancient concept /,"Perry, Jonathan Scott.",X004895329,BOOK,7/25/06,11/30/15,CHECKEDOUT,1,0,0,7,1
85541,2,ALDERMAN,STACKS,HS1508 .A8 G73 1984,1984,Mutual aid or welfare state : Australia's friendly societies /,"Green, David G.",X000869300,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
2895332,2,ALDERMAN,STACKS,HS1508 .F8 B35 1999,1999,"Fraternity among the French peasantry : sociability and voluntary associations in the Loire valley, 1815-1914 /","Baker, Alan R. H.",X004335700,BOOK,3/29/99,12/4/09,STACKS,0,0,0,1,1
667882,2,ALDERMAN,STACKS,HS1508 .G4 B87 1982,1982,Die B¸rgergilde zu Neum¸nster seit 1578 /,,X000630214,BOOK,6/29/96,9/14/09,STACKS,0,0,0,0,1
3952112,2,ALDERMAN,STACKS,HS1508 .G7 C67 2003,2003,"British friendly societies, 1750-1914 /","Cordery, Simon,",X004708464,BOOK,10/9/03,4/19/11,STACKS,0,0,0,0,1
1142108,2,ALDERMAN,STACKS,HS1508 .G7 G67,1973,Self-help; voluntary associations in the 19th century,"Gosden, P. H. J. H.",X000755679,BOOK,6/29/96,1/1/00,STACKS,0,0,0,3,1
1823889,2,ALDERMAN,STACKS,HS1508 .G7 N4 1991,1991,"Mutual aid in the Victorian countryside : friendly societies in the rural East Riding, 1830-1912 /","Neave, David.",X001958258,BOOK,6/30/96,1/1/00,STACKS,0,0,2,1,1
765958,2,ALDERMAN,STACKS,HS1508 .H85 H78 1981,1981,Xianggang di Huizhou she tuan : cong ren lei xue kan Kejia wen hua di chi xu /,"Xie, Jian.",X030698469,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1782737,2,ALDERMAN,STACKS,HS1508 .I8 B78 1986,1986,Le societ‡ di mutuo soccorso nel Ponente Ligure (1850-1914) /,"Bruno, Danilo.",X002060557,BOOK,6/30/96,7/24/07,STACKS,0,0,0,1,1
160386,2,ALDERMAN,STACKS,HS1508 .I8 I9,1979,"Associazioni operaie, clero e borghesia nel Mezzogiorno tra Ottocento e Novecento /","Ivone, Diomede.",X000367576,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
4076456,2,ALDERMAN,STACKS,HS1508 .J3 S3 1962,1962,"K?sh?dan seiritsu katei no kenky?,","Sakurai, Tokutar?,",X004837428,BOOK,10/18/04,10/7/14,STACKS,0,0,0,0,1
6423369,2,ALDERMAN,STACKS,HS1508 .S36 M37 2014,2014,Sons of Crispin : the St Crispin lodges of Edinburgh and Scotland /,"Marwick, Sandra M.",X031655145,BOOK,10/22/14,1/1/00,STACKS,0,0,0,0,1
2033663,2,ALDERMAN,STACKS,HS1508 .S7 G8 1990,1990,GuÌa de los archivos de las cofradias de semana santa de sevilla : otros estudios.,,X002215253,BOOK,6/30/96,12/7/01,STACKS,0,0,0,4,1
5961423,2,ALDERMAN,STACKS,HS1508 .T28 C56 1985,1985,Xue nong yu shui de hui guan /,"Zhou, Zongxian.",X031581042,BOOK,3/26/13,1/1/00,STACKS,0,0,0,0,1
2421504,2,ALDERMAN,STACKS,HS1510 .C353 D5 1994,1994,"El Centro Paz y UniÛn de Maldonado entre dos siglos, 1884-1994 /","DÌaz de Guerra, MarÌa A. (MarÌa Amelia),",X002627420,BOOK,7/1/96,1/1/00,STACKS,0,0,0,1,1
1262015,2,ALDERMAN,STACKS,HS1510 .G383 L5 1937,1937,"The history of the German friendly society of Savannah, Georgia, 1837-1937 /","Linn, Charles Adolphus,",X001244090,BOOK,6/30/96,9/14/09,STACKS,0,0,0,6,1
2789875,2,ALDERMAN,STACKS,HS1510 .G45 B66 1920,1920,Book of the G.F.S. : what it is and what it does.,,X004205461,BOOK,4/27/98,10/19/15,STACKS,0,0,0,15,1
4396292,2,ALDERMAN,STACKS,HS1510 .M33 1899,1899,Maccabeeism : from its origin to the present /,,X030126490,BOOK,9/14/06,7/24/07,STACKS,0,0,0,0,1
1223658,2,ALDERMAN,STACKS,HS1510 .P343 G64 1984,1984,"Golden jubilee souvenir, 1984 /",,X001464631,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
809527,2,ALDERMAN,STACKS,HS1510 .W782 1903,1903,"Ritual of the Woodmen of the World. Containing the opening      ceremony, protection decree, closing ceremony, installation and instituting     services, unveiling of monuments, funeral, burial, dedication and corner stone  services.",Woodmen of the World.,X000856037,BOOK,6/29/96,1/18/18,STACKS,0,0,1,7,1
2018062,2,ALDERMAN,STACKS,HS1529 .K583 K379 1992,1992,Columbianism and the Knights of Columbus : a quincentenary history /,"Kauffman, Christopher J.,",X002189694,BOOK,6/30/96,5/1/14,STACKS,1,2,1,6,1
171755,2 14,ALDERMAN,STACKS,HS1529 .K583 K38 1982,1982,"Faith and fraternalism : the history of the Knights of Columbus, 1882-1982 /","Kauffman, Christopher J.,",X000369849,BOOK,6/28/96,5/19/14,STACKS,1,2,2,22,1
2362611,2,ALDERMAN,STACKS,HS1540 .S62 C373 1993,1993,"A brief survey of the origins, spread, and activities of the Catholic Order of the Knights of da Gama, on the occasion of the 50th anniversary of its founding in Durban on 20 November 1943 /","Coleman, Francis L.",X004284221,BOOK,7/1/96,1/1/00,STACKS,0,0,0,0,1
175580,2,ALDERMAN,STACKS,HS1547 .O74 H68,1980,The sash Canada wore : a historical geography of the Orange Order in Canada /,"Houston, Cecil J.,",X000174054,BOOK,6/28/96,1/1/00,STACKS,0,0,1,2,1
2276993,2,ALDERMAN,STACKS,HS1547 .O74 S4 1993,1993,Riots in New Brunswick : Orange nativism and social violence in the 1840s /,"See, Scott W.,",X002421281,BOOK,7/1/96,10/17/01,STACKS,0,0,0,3,1
4446200,2,ALDERMAN,STACKS,HS1550 .G7 O7235 2006,2006,The Orange Order : a tradition betrayed /,"Kennaway, Brian.",X030110834,BOOK,11/29/06,7/2/07,STACKS,0,0,0,1,1
4319071,2,ALDERMAN,STACKS,HS1550 .G7 O724 2005,2005,"Faith, fraternity and fighting : the Orange Order and Irish migrants in northern England, c. 1850-1920 /","MacRaild, Donald M.",X004835029,BOOK,10/6/05,1/1/00,STACKS,0,0,0,0,1
4599878,2,ALDERMAN,STACKS,HS1550 .G7 O724 2007,2007,The Orange Order : a contemporary Northern Irish history /,"Kaufmann, Eric P.",X030101687,BOOK,6/19/07,11/7/09,STACKS,0,0,0,2,1
1142111,2,ALDERMAN,STACKS,HS1550 .I7 O74,1972,The Orange Order.,"Gray, Tony,",X001005914,BOOK,6/29/96,7/2/07,STACKS,0,0,0,11,1
442449,2,ALDERMAN,STACKS,HS164 .M3,1946,"The Catholic church and the secret societies in the United States,","Macdonald, Fergus.",X000128793,BOOK,6/29/96,11/16/18,CHECKEDOUT,1,0,1,4,1
1139196,2,ALDERMAN,STACKS,HS164 .S55 1936,1936,"Christianity and secret societies,","Smith, William Edward,",X000469571,BOOK,6/29/96,1/1/00,STACKS,0,0,0,2,1
764905,2,ALDERMAN,STACKS,HS17 .R63 1984,1984,ROCIA : repertoire des organisations de coopÈration interafricaine /,,X001254125,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
2435606,2,ALDERMAN,STACKS,HS1813 .H54 O3 1995 v.1,1995,History of the Ancient Order of Hibernians and Ladies' Auxiliary /,"O'Dea, John.",X002639831,BOOK,7/1/96,1/1/00,STACKS,0,0,0,1,1
2435606,2,ALDERMAN,STACKS,HS1813 .H54 O3 1995 v.2,1995,History of the Ancient Order of Hibernians and Ladies' Auxiliary /,"O'Dea, John.",X002639835,BOOK,7/1/96,1/1/00,STACKS,0,0,0,1,1
2435606,2,ALDERMAN,STACKS,HS1813 .H54 O3 1995 v.3,1995,History of the Ancient Order of Hibernians and Ladies' Auxiliary /,"O'Dea, John.",X002639839,BOOK,7/1/96,1/1/00,STACKS,0,0,0,1,1
710583,2,ALDERMAN,STACKS,HS1814 .P46 F48 1986,1896,A few prominent members of the Hibernian Society of Philadelphia 1771-1892.,,X001183758,BOOK,6/29/96,7/24/07,STACKS,0,0,1,2,1
1762756,2,ALDERMAN,STACKS,HS2020 .G33 P6578 1989,1989,"Polskie organizacje na Pomorzu Gda?skim w latach 1871-1914 : dzia?alno?? w s?u?bie o?wiaty, wychowania i kultury /","WrÛblewska, Teresa.",X002596797,BOOK,6/30/96,1/1/00,STACKS,0,0,0,2,1
1373806,2,ALDERMAN,STACKS,HS204 .C37 1989,1989,Secret ritual and manhood in Victorian America /,"Carnes, Mark C. (Mark Christopher),",X001606249,BOOK,6/30/96,4/25/16,STACKS,3,8,5,64,1
816296,2,ALDERMAN,STACKS,HS204 .W45 1966,1966,Handbook of secret organizations,"Whalen, William J. (William Joseph),",X004347371,BOOK,6/29/96,4/8/09,STACKS,0,0,1,8,1
2873023,2,ALDERMAN,STACKS,HS2046 .C7 C59 1994,1994,"History of the Croatian Fraternal Union of America, 1894-1994 /","?izmi?, Ivan.",X004263915,BOOK,1/27/99,10/10/02,STACKS,0,0,3,3,1
1142118,2,ALDERMAN,STACKS,HS2046 .U38 I8 1966,1966,Bratstva ta ?kh rol? v rozvytku ukra?ns?ko? kul?try.,"Isai?evych, I?A. D. (I?Aroslav Dmytrovych)",X001585910,BOOK,6/29/96,7/24/07,STACKS,0,0,0,1,1
2708018,2,ALDERMAN,STACKS,HS2046 .U38 K87 1996,1996,Ukrainian-American citadel : the first one hundred years of the Ukrainian National Association /,"Kuropas, Myron B.,",X004106285,BOOK,8/6/97,1/1/00,STACKS,0,0,0,0,1
3888067,2,ALDERMAN,STACKS,HS205 .O73 R62 2002,2002,"Secrets of the tomb : Skull and Bones, the Ivy League, and the hidden paths of power /","Robbins, Alexandra,",X004631892,BOOK,10/1/02,4/25/16,STACKS,5,20,4,52,1
7262875,2,ALDERMAN,STACKS,HS206 .N494 R53 2017,2017,Skulls and keys : the hidden history of Yale's secret societies /,"Richards, David Alan,",X031816222,BOOK,10/17/17,10/19/17,STACKS,1,0,0,1,1
7516302,2,ALDERMAN,STACKS,HS221 .O78 1993,1993,"La ""tragedia"" de los Ò·Òigos /","Ortiz, Fernando,",X032404524,BOOK,5/1/18,1/1/00,STACKS,0,0,0,0,1
7563070,2,ALDERMAN,STACKS,HS221 .Q56 1994,1994,Ecorie Abaku· : cuatro ensayos sobre los Ò·Òigos cubanos /,"QuiÒones, Tato,",X032404499,BOOK,6/4/18,1/1/00,STACKS,0,0,0,0,1
31071,2,ALDERMAN,STACKS,HS221 .Z6 S66 1982,1982,Los Ò·Òigos : ensayo /,"Sosa, Enrique.",X000983698,BOOK,6/28/96,1/1/00,STACKS,0,0,0,0,1
3943375,2,ALDERMAN,STACKS,HS2227 .I53 J49 2001,2001,Jewish politics in eastern Europe : the Bund at 100 /,,X004706029,BOOK,7/10/03,11/11/07,STACKS,0,0,1,3,1
1142119,2,ALDERMAN,STACKS,HS2228 .B44 C6 1926,1926,"B?nai B?irth manual,","Cohon, Samuel Solomon,",X002400136,BOOK,6/29/96,1/1/00,STACKS,0,0,1,1,1
1142120,2,ALDERMAN,STACKS,HS2228 .B44 G7 1966,1966,"B?nai B?rith; the story of a covenant,","Grusd, Edward E.",X002400106,BOOK,6/29/96,1/1/00,STACKS,0,0,1,1,1
160621,2,ALDERMAN,STACKS,HS2228 .B44 M66,1981,B?nai B?rith and the challenge of ethnic leadership /,"Moore, Deborah Dash,",X000353493,BOOK,6/28/96,7/1/13,STACKS,0,2,0,6,1
812215,2,ALDERMAN,STACKS,HS2259 .E53 W4,1955,"History of the Improved Benevolent and Protective Order of Elks of the World, 1898-1954.","Wesley, Charles H. (Charles Harris),",X001260332,BOOK,6/29/96,10/14/13,STACKS,1,0,4,5,1
813305,2,ALDERMAN,STACKS,HS2261 .U553 B8 1909,1909,"Twenty-five years history of the Grand fountain of the United Order of True Reformers, 1881-1905,","Burrell, W. P. (William Patrick),",X000540799,BOOK,6/29/96,3/21/14,STACKS,1,3,2,14,1
1369753,2,ALDERMAN,STACKS,HS2275 .C53 1989,1989,"Constructing brotherhood : class, gender, and fraternalism /","Clawson, Mary Ann,",X001609285,BOOK,6/30/96,10/26/18,STACKS,5,11,5,65,1
3923787,2,ALDERMAN,STACKS,HS2310 .R93 2003,2003,Homeland : into a world of hate /,"Ryan, Nick,",X004690027,BOOK,3/14/03,11/5/03,STACKS,0,0,0,1,1
2881968,2,ALDERMAN,STACKS,HS2321 .L44 1998,1998,The left guide : a guide to left-of-center organizations /,,X004276293,BOOK,2/18/99,1/1/00,STACKS,0,0,0,0,1
2904993,2,ALDERMAN,STACKS,HS2321 .R53 1997,1997,The right guide : a guide to conservative and right-of-center organizations /,,X004341642,BOOK,4/22/99,1/1/00,STACKS,0,0,0,0,1
3572576,2,ALDERMAN,STACKS,HS2321 .R54 2000,2000,"The right guide : a guide to conservative, free-market, and right-of-center organizations /",,X004402940,BOOK,10/12/00,9/14/09,STACKS,0,0,1,3,1
7374173,2,ALDERMAN,STACKS,HS2325 .B45 2018,2018,Bring the war home : the white power movement and paramilitary America /,"Belew, Kathleen,",X031821984,BOOK,3/8/18,7/22/18,CHECKEDOUT,3,1,0,4,1
2067840,2 14,ALDERMAN,STACKS,HS2325 .G46 1992,1992,"Nazis, communists, klansmen and others on the fringe /","George, John,",X002214900,BOOK,6/30/96,11/30/11,STACKS,0,0,2,19,1
2581021,2 3,ALDERMAN,STACKS,HS2325 .G46 1996,1996,"American extremists : militias, supremacists, klansmen, communists, & others /","George, John,",X004047473,BOOK,7/1/96,5/21/18,CHECKEDOUT,1,6,1,19,1
2581021,2 3,CLEMONS,BY-REQUEST,HS2325 .G46 1996,1996,"American extremists : militias, supremacists, klansmen, communists, & others /","George, John,",X004104987,BOOK,5/23/97,9/30/12,BY-REQUEST,1,1,0,8,1
1142122,2,ALDERMAN,STACKS,HS2325 .H3 1927,1927,"Professional patriots,","Hapgood, Norman,",X000500427,BOOK,6/29/96,11/17/08,STACKS,0,0,1,4,1
7374069,2,ALDERMAN,STACKS,HS2325 .M35 2018,2018,The rise of the Alt-Right /,"Main, Thomas J.,",X032114752,BOOK,3/7/18,11/4/18,CHECKEDOUT,2,0,1,2,1
1135552,2,ALDERMAN,STACKS,HS2330 .A6 D5 1969,1969,The A.P.A. movement.,"Desmond, Humphrey J. (Humphrey Joseph),",X001271950,BOOK,6/29/96,1/18/05,STACKS,0,0,1,3,1
548006,2 3,ALDERMAN,STACKS,HS2330 .C483 M33,1971,"The Citizens' Council; organized resistance to the second Reconstruction, 1954-64","McMillen, Neil R.,",X000144048,BOOK,6/29/96,11/21/18,CHECKEDOUT,5,11,5,64,1
548006,2 3,CLEMONS,BY-REQUEST,HS2330 .C483 M33,1971,"The Citizens' Council; organized resistance to the second Reconstruction, 1954-64","McMillen, Neil R.,",X000116228,BOOK,6/29/96,7/6/18,CHECKEDOUT,1,8,1,42,1
312749,2,ALDERMAN,STACKS,HS2330 .K6 A32 1977,1977,"Papers read at the meeting of Grand Dragons, Knights of the Ku Klux Klan : together with other articles of interest to Klansmen.",Ku Klux Klan (1915- ),X000094230,BOOK,6/28/96,11/21/18,CHECKEDOUT,3,0,3,36,1
3278086,2 17,ALDERMAN,STACKS,HS2330 .K63 A5 1969,1969,"Hearings on the Ku Klux Klan, 1921.",United States. Congress. House. Committee on Rules.,X000177624,BOOK,6/29/96,12/8/18,STACKS,2,1,3,24,1
556353,2 3,ALDERMAN,STACKS,HS2330 .K63 A75,1965,The Ku Klux Klan in the Southwest,"Alexander, Charles C.",X000163384,BOOK,6/29/96,5/19/08,STACKS,0,0,4,17,1
556353,2 3,ALDERMAN,STACKS,HS2330 .K63 A75,1965,The Ku Klux Klan in the Southwest,"Alexander, Charles C.",X000163385,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
556353,2 3,CLEMONS,BY-REQUEST,HS2330 .K63 A75,1965,The Ku Klux Klan in the Southwest,"Alexander, Charles C.",X000163386,BOOK,6/29/96,4/5/12,BY-REQUEST,1,0,3,17,1
5510375,3,CLEMONS,BY-REQUEST,HS2330 .K63 B337 2011,2011,"Gospel according to the Klan : the KKK's appeal to Protestant America, 1915-1930 /","Baker, Kelly (Kelly J.)",X031199859,BOOK,12/8/11,6/12/18,BY-REQUEST,8,2,0,10,1
5279322,3,CLEMONS,ED-JUV,HS2330 .K63 B37 2010,2010,They called themselves the K.K.K. : the birth of an American terrorist group /,"Bartoletti, Susan Campbell.",X030610397,JUV-BOOK,1/26/11,11/13/17,ED-JUV,3,1,0,5,1
1839139,3,CLEMONS,BY-REQUEST,HS2330 .K63 B44 1991,1991,Women of the Klan : racism and gender in the 1920s /,"Blee, Kathleen M.",X001978853,BOOK,6/30/96,5/11/17,BY-REQUEST,3,2,5,82,1
3938901,2,ALDERMAN,STACKS,HS2330 .K63 C487 2003,2003,Backfire : how the Ku Klux Klan helped the civil rights movement /,"Chalmers, David Mark.",X004663566,BOOK,5/15/03,11/21/18,CHECKEDOUT,1,0,1,17,1
1135554,2,ALDERMAN,STACKS,HS2330 .K63 C5 1965,1965,"Hooded Americanism; the first century of the Ku Klux Klan, 1865-1965","Chalmers, David Mark.",X000366179,BOOK,6/29/96,10/12/07,STACKS,0,0,6,25,1
408436,3,CLEMONS,BY-REQUEST,HS2330 .K63 C5 1976,1976,Hooded Americanism : the history of the Ku Klux Klan /,"Chalmers, David Mark.",X000132340,BOOK,6/28/96,11/5/18,INTRANSIT,3,0,3,33,1
4475640,2,ALDERMAN,STACKS,HS2330 .K63 C5 1981b,1981,Hooded Americanism : the history of the Ku Klux Klan /,"Chalmers, David Mark.",X030197017,BOOK,3/21/07,11/21/18,CHECKEDOUT,2,0,2,5,1
2100541,2,ALDERMAN,STACKS,HS2330 .K63 C5 1987,1987,Hooded Americanism : the history of the Ku Klux Klan /,"Chalmers, David Mark.",X002266591,BOOK,6/30/96,10/14/14,STACKS,3,0,6,83,1
5859152,2,ALDERMAN,STACKS,HS2330 .K63 C75 2013,2013,"Klansville, U.S.A. : the rise and fall of the civil rights-era Ku Klux Klan /","Cunningham, David,",X031229706,BOOK,12/18/12,8/13/18,CHECKEDOUT,11,10,1,21,1
2969043,2,ALDERMAN,STACKS,HS2330 .K63 F44 1999,1999,"Politics, society, and the Klan in Alabama, 1915-1949 /","Feldman, Glenn.",X004351194,BOOK,11/23/99,10/27/14,STACKS,1,0,4,17,1
1135555,2,ALDERMAN,STACKS,HS2330 .K63 F65 1924,1924,"The challenge of the Klan,","Frost, Stanley,",X000097670,BOOK,6/29/96,3/12/07,STACKS,0,0,1,13,1
528266,2,ALDERMAN,STACKS,HS2330 .K63 F65 1969,1969,The challenge of the Klan.,"Frost, Stanley,",X000507954,BOOK,6/29/96,12/1/13,STACKS,1,0,4,21,1
1135556,2,ALDERMAN,STACKS,HS2330 .K63 F7 1969,1969,"The modern Ku Klux Klan,","Fry, Henry P. (Henry Peck),",X004101851,BOOK,11/3/97,5/11/17,STACKS,2,3,2,23,1
126926,2,ALDERMAN,STACKS,HS2330 .K63 G45 1982,1982,Blazing crosses in Zion : the Ku Klux Klan in Utah /,"Gerlach, Larry R.",X000401740,BOOK,6/28/96,11/17/08,STACKS,0,0,5,4,1
1135557,2,ALDERMAN,STACKS,HS2330 .K63 G49,1965,Inside Ku Klux Klan,"Gillette, Paul J.",1135557-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
166209,2,ALDERMAN,STACKS,HS2330 .K63 G57,1981,Hooded empire : the Ku Klux Klan in Colorado /,"Goldberg, Robert Alan,",X000370608,BOOK,6/28/96,4/3/14,STACKS,1,0,5,23,1
7313617,2,ALDERMAN,STACKS,HS2330 .K63 G63 2017,2017,The second coming of the KKK : the Ku Klux Klan of the 1920s and the American political tradition /,"Gordon, Linda,",X031816414,BOOK,12/12/17,10/17/18,CHECKEDOUT,2,1,0,3,1
2924301,2,ALDERMAN,STACKS,HS2330 .K63 I57 1999,1999,Inside the klavern : the secret history of a Ku Klux Klan of the 1920s /,,X004267206,BOOK,6/28/99,12/8/18,STACKS,2,0,5,23,1
1949915,2 14,ALDERMAN,STACKS,HS2330 .K63 I58 1992,1992,The Invisible empire in the West : toward a new historical appraisal of the Ku Klux Klan of the 1920s /,,X002075567,BOOK,6/30/96,4/29/10,STACKS,0,0,2,32,1
553992,2 3,ALDERMAN,STACKS,HS2330 .K63 J3 1967,1967,"The Ku Klux Klan in the city, 1915-1930","Jackson, Kenneth T.",X000029586,BOOK,6/29/96,12/8/18,STACKS,2,1,8,37,1
1755136,2,ALDERMAN,STACKS,HS2330 .K63 J44 1990,1990,Steel Valley Klan : the Ku Klux Klan in Ohio's Mahoning Valley /,"Jenkins, William D.,",X001825303,BOOK,6/30/96,12/8/05,STACKS,0,0,2,7,1
