"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","DB 000003 .F62  BD.000071","X004215555","Der Josephinismus, Quellen zu seiner Geschichte in Österreich 1760-1850. Amtliche Dokumente aus dem Wiener Haus-, Hof- und Staatsarchiv.","Maass, Ferdinand,",1951,TRUE
"2","ALDERMAN","DB 000022 .M4  1963","X030860993","Die schönsten Städte Alt-Österreichs. Aus der Archontologia cosmica und den Topographien,","Merian, Matthaeus,",1963,FALSE
"3","ALDERMAN","DB 000030 .A97  V.000005","X002519489","The Habsburg legacy : national identity in historical perspective /","",1994,TRUE
"4","ALDERMAN","DB 000030 .B78  1985","X001011967","Sozialgeschichte Österreichs /","Bruckmüller, Ernst.",1985,FALSE
"5","ALDERMAN","DB 000030 .D43  1989","X001783177","Decadence and innovation : Austro-Hungarian life and art at the turn of the century /","",1989,FALSE
"6","ALDERMAN","DB 000030 .K533  1994","X004041961","Zur österreichischen Nation /","Klahr, Alfred,",1994,FALSE
"7","ALDERMAN","DB 000030 .M462  2005","X030370839","Das war Osterreich : gesammelte Essays zum Land ohne Eigenschaften /","Menasse, Robert,",2005,FALSE
"8","ALDERMAN","DB 000033 .N37  1988","X001634860","Nation und Nationalbewusstsein in Österreich : Ergebnisse einer empirischen Untersuchung /","",1988,FALSE
"9","ALDERMAN","DB 000036.3 .H3  B4713  1994  V.000002","X006046825","A history of the Habsburg empire /","Bérenger, Jean,",1994,TRUE
"10","ALDERMAN","DB 000036.3 .H3  D85  2003","X004719842","Vienna and Versailles : the courts of Europe's major dynastic rivals, ca. 1550-1780 /","Duindam, Jeroen Frans Jozef,",2003,TRUE
"11","ALDERMAN","DB 000036.3 .H3  F53  2003","X004718345","The Habsburg Monarchy, 1490-1848 : attributes of empire  /","Fichtner, Paula S.",2003,TRUE
"12","ALDERMAN","DB 000036.3 .H3  F532  2014","X031651700","The Habsburgs : dynasty, culture and politics /","Fichtner, Paula S.",2014,TRUE
"13","ALDERMAN","DB 000036.3 .H3  I54  1994","X002537074","The Habsburg monarchy, 1618-1815 /","Ingrao, Charles W.",1994,FALSE
"14","ALDERMAN","DB 000036.3 .H3  J83  2016","X031782941","The Habsburg empire : a new history /","Judson, Pieter M.,",2016,FALSE
"15","ALDERMAN","DB 000036.3 .H3  O44  2001","X004473235","The Habsburg monarchy : from enlightenment to eclipse /","Okey, Robin.",2001,FALSE
"16","ALDERMAN","DB 000037 .M45  2015","X031795080","Religion, community, and slavery on the colonial Southern Frontier /","Melton, James Van Horn,",2015,FALSE
"17","ALDERMAN","DB 000038 .B395  2006","X030111724","A concise history of Austria /","Beller, Steven,",2006,FALSE
"18","ALDERMAN","DB 000038 .B73  2002","X004657977","The Austrians : a thousand-year odyssey /","Brook-Shepherd, Gordon,",2002,FALSE
"19","ALDERMAN","DB 000038 .W56  2014","X031230155","Danubia : a personal history of Habsburg Europe /","Winder, Simon.",2014,FALSE
"20","ALDERMAN","DB 000047 .J83  2006","X030116294","Guardians of the nation : activists on the language frontiers of imperial Austria /","Judson, Pieter M.",2006,FALSE
"21","ALDERMAN","DB 000047 .K23  1973","X000100921","The Habsburg Empire; a study in integration and disintegration,","Kann, Robert A.,",1973,FALSE
"22","ALDERMAN","DB 000047 .L56  2007","X030252025","The limits of loyalty : imperial symbolism, popular allegiances, and state patriotism in the late Habsburg monarchy /","",2007,FALSE
"23","ALDERMAN","DB 000047 .R38  2001","X006101339","Discourse and discrimination : rhetorics of racism and antisemitism /","Reisigl, Martin,",2001,FALSE
"24","ALDERMAN","DB 000047 .T313","X000227738","The rise and fall of the Habsburg monarchy","Tapié, Victor Lucien,",1971,FALSE
"25","ALDERMAN","DB 000048 .N35  1992","X002163568","Nationalism and empire : the Habsburg Empire and the Soviet Union /","",1992,FALSE
"26","ALDERMAN","DB 000049 .G3  S5  1985","X001017157","The secret enemy : Austria-Hungary and the German alliance, 1914-1918 /","Shanafelt, Gary W.",1985,FALSE
"27","ALDERMAN","DB 000051 .H34  2017","X031852991","Geschichtsfiktion im Dienste territorialer Macht : die Chronik von den 95 Herrschaften des Leopold von Wien /","Hagemann, Christoph J.",2017,FALSE
"28","ALDERMAN","DB 000060 .F53  2008","X030279081","Terror and toleration : the Habsburg Empire confronts Islam, 1526-1850 /","Fichtner, Paula S.",2008,FALSE
"29","ALDERMAN","DB 000065 .E9","X000076759","The making of the Habsburg monarchy, 1550-1700 : an interpretation /","Evans, Robert John Weston.",1979,FALSE
"30","ALDERMAN","DB 000065 .K36","X000144483","A history of the Habsburg Empire, 1526-1918 /","Kann, Robert A.,",1974,FALSE
"31","ALDERMAN","DB 000065 .M26  2003","X004668572","War, religion and court patronage in Habsburg Austria : the social and cultural dimensions of political interaction, 1521-1622 /","MacHardy, Karin Jutta.",2003,FALSE
"32","ALDERMAN","DB 000065.3 .K354  2005","X004956681","Kaiser Ferdinand I. : ein mitteleuropäischer Herrscher /","",2005,FALSE
"33","ALDERMAN","DB 000065.4 .L68  1997","X004114757","The quest for compromise : peacemakers in counter-Reformation Vienna /","Louthan, Howard,",1997,FALSE
"34","ALDERMAN","DB 000065.75 .B57  2014","X031707722","Ferdinand II, Counter-Reformation emperor, 1578-1637 /","Bireley, Robert,",2014,FALSE
"35","ALDERMAN","DB 000066 .E73  2006","X004836914","Austria, Hungary, and the Habsburgs : essays on Central Europe, c.1683-1867 /","Evans, Robert John Weston.",2006,FALSE
"36","ALDERMAN","DB 000066 .M3  1970B","X000311479","The Habsburg and Hohenzollern dynasties in the seventeenth and eighteenth centuries.","Macartney, C. A. (Carlile Aylmer),",1970,FALSE
"37","ALDERMAN","DB 000067 .S67","X000416147","Leopold I of Austria /","Spielman, John P. (John Philip),",1977,FALSE
"38","ALDERMAN","DB 000068 .I53","X000002070","In quest and crisis : Emperor Joseph I and the Habsburg monarchy /","Ingrao, Charles W.",1979,FALSE
"39","ALDERMAN","DB 000068 .K73  1967","X000007585","Habsburg und Rom in den Jahren 1708-1709.","Kramer, Hans,",1967,FALSE
"40","ALDERMAN","DB 000069.7 .O43  1985  V.000001","X001184847","Österreich im Europa der Aufklärung : Kontinuität und Zäsur in Europa zur Zeit Maria Theresias und Josephs II. : Internationales Symposion in Wien 20.-23. Oktober 1980.","",1985,TRUE
"41","ALDERMAN","DB 000069.7 .R45  1986","X001937645","Österreich im friderizianischen Zeitalter : zum 200. Todestag König Friedrich II. von Preussen /","Reinalter, Helmut,",1986,FALSE
"42","ALDERMAN","DB 000069.7 .W35  1973","X000327599","The Austrian achievement, 1700-1800.","Wangermann, Ernst.",1973,FALSE
"43","ALDERMAN","DB 000070 .A74  1971  BD.000004","X002575503","Geschichte Maria Theresia's /","Arneth, Alfred,",1971,TRUE
"44","ALDERMAN","DB 000070 .O88  1983","X031899746","Österreich im Zeitalter des aufgeklärten Absolutismus /","",1983,FALSE
"45","ALDERMAN","DB 000070 .W54","X031899744","Barock, Absolutismus und Aufklärung in der Donaumonarchie.","Winter, Eduard,",1971,FALSE
"46","ALDERMAN","DB 000071 .C7  1970","X000306249","Maria Theresa.","Crankshaw, Edward.",1970,FALSE
"47","ALDERMAN","DB 000071 .G63  1952","X000307319","Maria Theresa, and other studies.","Gooch, G. P. (George Peabody),",1951,FALSE
"48","CLEMONS","DB 000071 .G63  1965","X032077715","Maria Theresa, and other studies [by] G. P. Gooch.","Gooch, G. P. (George Peabody),",1965,FALSE
"49","ALDERMAN","DB 000071 .M29","X000306228","Maria Theresa,","McGill, William J.,",1972,FALSE
"50","ALDERMAN","DB 000071 .M37  1978  V.000001","X000037782","Briefe der Kaiserin Maria Theresia an ihre Kinder und Freunde /","Maria Theresa,",1978,TRUE
"51","ALDERMAN","DB 000071 .M39  1986B","X001058697","Imperial mother, royal daughter : the correspondence of Marie Antoinette and Maria Theresa /","Marie Antoinette,",1986,FALSE
"52","ALDERMAN","DB 000071 .M75  1937","X000306675","Maria Theresa, the last conservative,","Morris, Constance Lily Rothschild.",1937,FALSE
"53","CLEMONS","DB 000071 .R6","X000227742","Maria Theresa.","Roider, Karl A.",1973,FALSE
"54","ALDERMAN","DB 000073 .S9  B73","X031899749","Gerard van Swieten and his world 1700-1772","Brechka, Frank T.",1970,FALSE
"55","ALDERMAN","DB 000074 .I57  1980","X000470015","Was blieb von Joseph II.? : eine Dokumentation /","Internationales Symposion Melk",1980,FALSE
"56","ALDERMAN","DB 000074 .M34","X000015764","Josef II : Revolutionär von Gottes Gnaden /","Magenschab, Hans,",1979,FALSE
"57","ALDERMAN","DB 000074 .P3  1967","X000474898","The revolutionary Emperor, Joseph II of Austria","Padover, Saul Kussiel,",1967,FALSE
"58","CLEMONS","DB 000074.3 .B397  1971","X000039926","Jesuits and Jacobins; enlightenment and enlightened despotism in Austria","Bernard, Paul P.",1971,FALSE
"59","ALDERMAN","DB 000074.3 .W3  1969","X000188180","From Joseph II to the Jacobin trials: government policy and public opinion in the Habsburg dominions in the period of the French Revolution.","Wangermann, Ernst.",1969,FALSE
"60","ALDERMAN","DB 000074.5 .B4","X000077019","The limits of enlightenment : Joseph II and the law /","Bernard, Paul P.",1979,FALSE
"61","CLEMONS","DB 000074.5 .B42  1987  V.1","X001217554","Joseph II /","Beales, Derek Edward Dawson.",1987,TRUE
"62","ALDERMAN","DB 000074.7 .P47  B47  1991","X001926026","From the enlightenment to the police state : the public life of Johann Anton Pergen /","Bernard, Paul P.",1991,FALSE
"63","ALDERMAN","DB 000076 .R43  1988","X001519991","Österreich und die Französische Revolution /","Reinalter, Helmut,",1988,FALSE
"64","ALDERMAN","DB 000076 .S66  1994","X002474416","Joseph von Sonnenfels : Aufklärung als Sozialpolitik : ausgewählte Schriften aus den Jahren 1764-1798 /","Sonnenfels, Joseph von,",1994,FALSE
"65","CLEMONS","DB 000080 .M3  1969","X000111376","The Habsburg Empire, 1790-1918","Macartney, C. A. (Carlile Aylmer),",1969,FALSE
"66","ALDERMAN","DB 000080 .S58  1989","X001590421","The decline and fall of the Habsburg Empire, 1815-1918 /","Sked, Alan,",1989,FALSE
"67","ALDERMAN","DB 000080 .S58  2001","X004541986","The decline and fall of the Habsburg Empire, 1815-1918 /","Sked, Alan,",2001,FALSE
"68","ALDERMAN","DB 000080.8 .M57  B4  1962","X000227743","Metternich and his times,","Bertier de Sauvigny, Guillaume de,",1962,FALSE
"69","ALDERMAN","DB 000080.8 .M57  E45","X000278101","Metternich and the political police. Security and subversion in the Hapsburg monarchy (1815-1830).","Emerson, Donald Eugene,",1968,FALSE
"70","ALDERMAN","DB 000080.8 .M57  P33  1972","X000242434","Metternich","Palmer, Alan,",1972,FALSE
"71","ALDERMAN","DB 000080.8 .M57  S35","X000227747","Metternich, the ""coachman of Europe"": statesman or evil genius?","Schwarz, Henry Frederick,",1962,FALSE
"72","ALDERMAN","DB 000080.8 .M57  S49  1991","X002065398","Metternich : the first European /","Seward, Desmond,",1991,FALSE
"73","ALDERMAN","DB 000085 .J8  1996","X004067442","Exclusive revolutionaries : liberal politics, social experience, and national identity in the Austrian Empire, 1848-1914 /","Judson, Pieter M.",1996,FALSE
"74","ALDERMAN","DB 000085 .L37  1990B","X001861070","The Last years of Austria-Hungary : essays in political and military history 1908-1918 /","",1990,FALSE
"75","ALDERMAN","DB 000085 .W5  1991","X001878943","Austria-Hungary and the coming of the First World War /","Williamson, Samuel R.",1991,FALSE
"76","ALDERMAN","DB 000086 .B74","X000384003","From Sadowa to Sarajevo: the foreign policy of Austria-Hungary, 1866-1914,","Bridge, F. R.",1972,FALSE
"77","ALDERMAN","DB 000086 .B74  1990","X001856841","The Habsburg monarchy among the great powers, 1815-1918 /","Bridge, F. R.",1990,FALSE
"78","ALDERMAN","DB 000086 .D43  2015","X031792184","Forging a multinational state : state making in imperial Austria from the Enlightenment to the First World War /","Deák, John (John David),",2015,FALSE
"79","ALDERMAN","DB 000086 .R6613  2006","X004897565","Myth and remembrance : the dissolution of the Habsburg Empire in the memoir literature of the Austro-Hungarian political elite /","Romsics, Gergely,",2006,FALSE
"80","ALDERMAN","DB 000086.7 .F75  2014","X031651982","Austro-Hungarian war aims in the Balkans during World War I /","Fried, Marvin,",2014,FALSE
"81","ALDERMAN","DB 000087 .B45  1996","X006016488","Francis Joseph /","Beller, Steven,",1996,FALSE
"82","ALDERMAN","DB 000087 .U64  2005","X004901908","The pomp and politics of patriotism : imperial celebrations in Habsburg Austria, 1848-1916 /","Unowsky, Daniel L.,",2005,FALSE
"83","ALDERMAN","DB 000088 .F67  1988","X001941415","Forschungen zur Landes- und Kirchengeschichte : Festschrift Helmut J. Mezler-Andelberg zum 65. Geburtstag /","",1988,FALSE
"84","ALDERMAN","DB 000088 .H2813  1986","X001146315","The reluctant empress : Elisabeth of Austria /","Hamann, Brigitte.",1986,FALSE
"85","ALDERMAN","DB 000089 .F7  C37  1985","X000931999","The archduke and the assassin : Sarajevo, June 28th 1914 /","Cassels, Lavender,",1985,TRUE
"86","ALDERMAN","DB 000089 .F7  D4  1966","X000143974","The road to Sarajevo.","Dedijer, Vladimir.",1966,TRUE
"87","ALDERMAN","DB 000089 .F7  K48  2013","X031614357","The assassination of the Archduke : Sarajevo 1914 and the romance that changed the world /","King, Greg,",2013,FALSE
"88","ALDERMAN","DB 000089 .W55  S69  2008","X030260334","The Red Prince : the secret lives of a Habsburg archduke /","Snyder, Timothy.",2008,FALSE
